Parti;Courant politique;Arrêter l'accroissement de la pression fiscale.;LDB
RPR;Droite;"Electrices, électeurs, chers amis, le 21 Mars prochain, vous choisirez :
* Entre les amis politiques de ceux qui nous gouvernent depuis 11 ans, professionnels de l'inauguration, de l'augmentation des prix, de la baisse du pouvoir d'achat, de la hausse toujours grandissante des impôts, par leur laxisme, ils se sont faits les champions de l'insécurité.";1
RPR;Droite;"Et le candidat d'union d'opposition U.P.F., réunissant non-inscrits, R.P.R. et U.D.F., Henry MARCILLE, Maire de Bondoufle depuis 1953, Conseiller Général de l'Essonne (Evry-Sud) depuis 1985.
Il n'a pas besoin de vous présenter ses références et les résultats de ses actions, tant au Conseil Général que dans sa ville, parce que vous le voyez en regardant Bondoufle.";1
RPR;Droite;"Henry MARCILLE se mettra à votre service et assurera ainsi une représentation efficace pour tous ; ses activités communales, départementales et associatives lui ayant permis comme vous, de voir et de connaître toutes les difficultés que vous pourriez rencontrer, dans une vie toujours plus difficile.";1
RPR;Droite;Alors tous unis, ensemble, nous travaillerons pour le bien-être de la France.;1
RPR;Droite;"Vos bonnes raisons de ne pas voter socialiste
TROP de chômage
TROP d'insécurité TROP de scandales TROP d'échec scolaire TROP d'impôts
TROP de menaces sur les retraites";1
RPR;Droite;"avec Henry MARCILLE, dites
OUI à la création d'emplois en diminuant les charges OUI pour donner les mêmes chances aux enfants OUI pour l'augmentation des salaires directs
OUI pour la maîtrise de l'immigration
OUI OUI pour la protection de la famille
pour retrouver la sécurité";1
FN;DR;"Chômage, insécurité, immigration, pauvreté, impôts, ""affaires"" ... Force est de constater qu'en France aujourd'hui rien ne va plus ! Ce constat dramatique, mais malheureusement bien réel, vous inquiète.";1
FN;DR;Or, il y a des responsables à cet état de fait : ce sont des politiciens de gauche comme de droite qui depuis plus de vingt ans se sont révélés incapables de gouverner correctement notre pays. A juste raison, l'avenir vous apparaît angoissant.;1
FN;DR;Pourtant, en politique, il n'y a pas de fatalité. A nous de prendre notre destin en mains. Si vous voulez que la France retrouve sa force et sa grandeur, si vous voulez que justice, honnêteté, éducation, bien-être, fraternité, soient des mots qui aient une réelle valeur, si vous voulez faire entendre la voix du bon sens et de la vérité, je vous invite le 21 mars à voter Front National pour la renaissance de la France.;1
FN;DR;"LE SOCIALO-COMMUNISME , ÇA SUFFIT !
- 4,5 MILLIONS DE CHÔMEURS
- 4 MILLIONS DE DÉLITS ET DE CRIMES
- 7 MILLIONS D'IMMIGRÉS
- 500 000 SANS-ABRI !
- 500 000 SÉROPOSITIFS";1
FN;DR;"ÉCOLOGISTES, ATTENTION DANGER !
Partout où les écologistes sont élus, ils veulent augmenter les impôts, encourager l'immigration et persécuter les automobilistes. Dans les régions, ils se vendent toujours au plus offrant : en Lorraine à l'UDF, dans le Nord au PS, en Ile-de-France au RPR.";1
FN;DR;"RPR-UDF, ILS VOUS TROMPENT !
ILS VOUS DISENT ...
EN RÉALITÉ ...
Qu'ils sont contre l'immigration.
Avec le PS et le PC, le RPR et l'UDF ont voté la carte de séjour de 10 ans renouvelable pour les immigrés.
Qu'ils vont réformer le Code de la Nationalité.
Ils l'avaient déjà promis en 1986, ils n'en ont rien fait.";0
FN;DR;"Qu'ils vont rétablir la sécurité.
Les élus du RPR et de l'UDF se refu- sent encore aujourd'hui à rétablir la peine de mort.";0
FN;DR;"Qu'ils vont sauver l'agriculture.
Le RPR et l'UDF ont approuvé la PAC 92 et ont dit OUI au Traité de Maastricht.";0
FN;DR;"1 ORGANISER LE RETOUR DES IMMIGRES CHEZ EUX
en abrogeant la carte de séjour de 10 ans renouvelable.";0
FN;DR;"2 REFORMER LE CODE DE LA NATIONALITE
en supprimant l'acquisition automatique de la nationalité française.";0
FN;DR;"3 ACCORDER LA PRIORITE AUX FRANÇAIS
pour les emplois, l'aide sociale, les logements …";0
FN;DR;"4 DONNER DU TRAVAIL AUX FRANÇAIS
en maintenant les travailleurs français dans leur emploi en cas de licenciements économiques et en organisant le retour des immigrés chez eux.";0
FN;DR;"5 LIBERER LES PME-PMI DES CONTRAINTES
qui empêchent l'embauche.";1
FN;DR;6 ALLEGER LES CHARGES qui pèsent sur les entreprises.;1
FN;DR;7 RETABLIR LA PEINE DE MORT et la certitude de la sanction pour tous les délinquants et criminels.;0
FN;DR;8 EXPULSER LES DELINQUANTS ET CLANDESTINS ETRANGERS;1
FN;DR;"9 CREER LE REVENU PARENTAL POUR LES FAMILLES FRANÇAISES
par le versement d'un salaire de 6.000 F pour élever ses enfants à plein temps.";0
FN;DR;"10 ATTRIBUER AUX FAMILLES FRANÇAISES UN CHEQUE SCOLAIRE
afin d'assurer le libre choix et la neutralité de l'école.
";0
FN;DR;"11 LUTTER CONTRE LA PAUVRETÉ DES FRANÇAIS
en créant une allocation nationale de solidarité.";1
FN;DR;"12 REEVALUER LES BAS SALAIRES
en luttant contre l'utilisation de la main-d'œuvre immigrée à bas prix.";1
FN;DR;"13 PROTEGER NOTRE ECONOMIE
de la concurrence sauvage extra-européenne en rétablissant les frontières.";1
FN;DR;"SI VOUS VOULEZ UN DÉPUTÉ ..
1 Qui ait les mains propres.
2 Qui soit patriote, libre et indépendant des lobbies et des mafias.
3 Qui vous dise la vérité.";1
FN;DR;"Qui remette de l'ordre dans les affaires de la France.
5 Qui combatte l'immigration, le chômage, l'insécurité et les excès fiscaux ainsi que la corruption.";1
FN;DR;"14 REDUIRE LES IMPOTS
en mettant fin aux gaspillages de l'argent public et en supprimant progressivement l'impôt sur le revenu.";1
FN;DR;"15 SAUVER LA SECURITE SOCIALE
en séparant les caisses destinées aux Français (+CEE) et aux immigrés.";0
FN;DR;"16 GARANTIR LES RETRAITES ET LES INDEXER
en créant la retraite à la carte et la retraite par capitalisation.";0
FN;DR;"17 SAUVER L'AGRICULTURE FRANÇAISE
en supprimant la taxe sur le foncier non-bâti et en rétablissant la préférence communautaire prévue par le traité de Rome et en instaurant un moratoire des dettes.";0
FN;DR;"18 RENDRE LA PAROLE AUX FRANÇAIS
en instituant le référendum d'initiative populaire.";0
FN;DR;"19 PROTEGER NOTRE ENVIRONNEMENT
en défendant notre patrimoine naturel et culturel.";1
FN;DR;"20 RESTAURER NOTRE DÉFENSE NATIONALE
par l'accroissement de ses moyens budgétaires et l'amélioration des conditions matérielles des personnels.";1
FN;DR;"En revanche, une voix F.N. de plus, c'est vraiment utile :
- à la démocratie, pour éviter que des millions de Français soient pri- vés de toute représentation à l'As- semblée Nationale.
- à la France, pour permettre que soit entendue la voix de ceux qui disent tout haut, ce qu'une majorité de Français pense tout bas.";1
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
FN;DR;;
